,coefficient,word
343,-0.1537525159574461,suck
344,-0.153286098728809,unite
345,-0.15205114111615384,eruption
346,-0.15153350452054387,saturday
347,-0.1513929128238262,muslim
348,-0.1510909875445729,sun
349,-0.1510141336266467,crimes
350,-0.15023438057818211,holy
351,-0.1500704148296444,pay
352,-0.14940871677207737,visayas
353,-0.14940423489204074,hometown
354,-0.14902085709768959,spend
355,-0.14890625836625,mr
356,-0.14830815631665062,terrorism
357,-0.14795034906242882,today
358,-0.14737979244607274,drown
359,-0.14694286645868695,地震
360,-0.14648429893428797,hotel
361,-0.14610272585603246,definitely
362,-0.14565368676466323,series
363,-0.14499165993570926,jealous
364,-0.14485374693829742,xd
365,-0.14400618262182033,real_liam_payne
366,-0.14309514286395955,omfg
367,-0.14284303006447377,boulderflood
368,-0.1427406853583405,bostonmarathon
369,-0.14218062839673384,blamethehaze
370,-0.14216362010303002,forever
371,-0.1412483668533075,shock
372,-0.14099768705746502,gold
373,-0.1405563689327664,grabe
374,-0.14051418332492407,worry
375,-0.140497861788361,imagine
376,-0.14047150788837387,sadly
377,-0.14018882423291046,quite
378,-0.13964802535386292,sunset
379,-0.1393305873027163,fellow
380,-0.13902851754399823,bet
381,-0.13875960184045877,prayforboholandcebu
382,-0.1385972652663378,iraq
383,-0.13831521346365122,blow
384,-0.13819705151559322,afghan
385,-0.13781701219346448,silence
386,-0.1376622946527755,bite
387,-0.13765871098659074,humorous
388,-0.13749956469193006,people
389,-0.13689936707075673,pinoy
390,-0.13666315820040736,friend
391,-0.1363928506087903,volcanic
392,-0.13620270665263082,perfect
393,-0.1359529527893867,keepsafe
394,-0.13577517270215728,american
395,-0.1353882575073,revolution
396,-0.13495040697572858,fact
397,-0.13490072566263633,morning
398,-0.1346547574704554,region
399,-0.1337341116728953,ticket
400,-0.13358025528914672,bore
401,-0.1334024646533125,stlcards
402,-0.13326964962136775,ai
403,-0.13323529961792901,troop
404,-0.13318517115638367,totally
